TR11031|c4_g4
TR6559|c1_g3
TR6772|c0_g2
TR30786|c10_g1
TR31213|c1_g1
TR32382|c0_g1
TR36435|c7_g4
TR18190|c5_g1
TR7207|c1_g1
TR23720|c0_g1
TR2403|c0_g1
TR15961|c3_g4
TR26378|c0_g1
TR20801|c0_g1
TR17915|c6_g2
TR36363|c13_g1
TR14512|c0_g1
TR15926|c25_g1
TR36445|c1_g1
TR38260|c1_g1
TR25587|c0_g1
TR8471|c2_g1
TR29191|c4_g2
TR13693|c5_g1
TR14163|c1_g2
TR26464|c2_g2
TR10109|c6_g1
TR28427|c0_g1
TR21721|c2_g2
TR158|c0_g1
TR13211|c2_g1
TR15307|c5_g1
TR29102|c2_g1
TR34766|c2_g2
TR6777|c2_g1
TR34095|c3_g2
TR10160|c13_g1
TR17826|c2_g2
TR13751|c5_g3
TR7850|c0_g2
TR30585|c0_g1
TR31323|c0_g1
TR10989|c1_g1
TR22264|c0_g1
TR7729|c1_g1
TR36221|c5_g3
TR26448|c9_g2
TR34833|c5_g1
TR21302|c0_g1
TR37007|c10_g1
TR34907|c0_g1
TR7544|c0_g2
TR26449|c0_g2
TR26448|c6_g2
TR36182|c8_g1
TR25530|c0_g1
TR31268|c7_g3
TR19913|c0_g1
TR32665|c0_g1
TR32526|c1_g3
TR9472|c1_g5
TR20554|c0_g1
TR34796|c4_g1
TR1404|c1_g1
TR32288|c0_g1
TR22087|c0_g1
TR23976|c2_g2
TR17915|c2_g2
TR2305|c0_g1
TR2801|c0_g1
TR15227|c1_g1
TR599|c2_g1
TR2743|c0_g2
TR26181|c0_g1
TR7330|c0_g1
TR7255|c1_g1
TR2201|c4_g1
TR9217|c6_g1
TR17950|c0_g2
TR22406|c0_g2
TR1483|c9_g1
TR32149|c1_g4
TR6626|c1_g2
TR14633|c1_g1
TR27447|c0_g1
TR32157|c0_g3
TR28014|c1_g1
TR23379|c7_g1
TR13052|c0_g1
TR23900|c5_g2
TR8470|c8_g1
TR5027|c1_g1
TR19219|c0_g1
TR11017|c4_g1
TR23985|c3_g1
TR6438|c8_g1
TR30872|c2_g1
TR24041|c2_g1
TR22046|c0_g1
TR10971|c3_g2
TR1043|c0_g1
TR22266|c0_g1
TR23214|c0_g2
TR15978|c3_g1
TR8471|c6_g2
TR17411|c0_g1
TR19693|c0_g1
TR9026|c2_g2
TR32269|c9_g2
TR17936|c0_g1
TR1046|c0_g1
TR9904|c3_g2
TR32154|c0_g1
TR21769|c1_g1
TR1422|c0_g2
TR32536|c2_g2
TR7960|c0_g2
TR323|c0_g1
TR32623|c0_g1
TR23607|c0_g1
TR10943|c1_g1
TR7020|c0_g1
TR31618|c0_g1
TR9904|c5_g2
TR25570|c2_g3
TR32232|c3_g1
TR48|c0_g1
TR5068|c0_g1
TR28059|c2_g1
TR4014|c0_g2
TR34353|c0_g1
TR36553|c0_g1
TR8253|c0_g1
TR36432|c1_g1
TR25938|c0_g1
TR5081|c0_g1
TR9179|c8_g1
TR27076|c0_g2
TR15271|c7_g1
TR37034|c0_g1
TR8502|c10_g2
TR3895|c0_g2
TR13725|c3_g3
TR29155|c3_g1
TR36416|c4_g3
TR32210|c0_g1
TR37021|c8_g3
TR36174|c0_g1
TR36988|c3_g3
TR6590|c5_g5
TR21723|c2_g1
TR32225|c7_g1
TR38923|c2_g1
TR26408|c7_g1
TR12295|c0_g2
TR32302|c10_g1
TR35263|c0_g1
TR2221|c13_g1
TR37854|c0_g1
TR9252|c5_g2
TR9215|c5_g1
TR33756|c0_g1
TR30373|c0_g2
TR32216|c12_g1
TR36161|c1_g1
TR23257|c0_g2
TR38935|c1_g1
TR34750|c4_g1
TR17326|c0_g1
TR9267|c0_g1
TR36569|c0_g1
TR15954|c0_g1
TR21272|c0_g1
TR10873|c0_g1
TR28108|c1_g1
TR31279|c1_g1
TR23394|c0_g1
TR7364|c7_g1
TR18161|c0_g1
TR29852|c0_g1
TR9068|c11_g1
TR22326|c3_g2
TR34813|c5_g1
TR2184|c0_g1
TR16767|c0_g2
TR3613|c0_g1
TR23343|c5_g1
TR29200|c4_g7
TR17913|c8_g1
TR6612|c4_g3
TR38313|c0_g1
TR26410|c5_g4
TR6450|c5_g1
TR9229|c6_g1
TR2146|c8_g1
TR6095|c3_g1
TR6151|c0_g2
TR36384|c3_g2
TR31208|c0_g2
TR26421|c1_g4
TR13643|c1_g1
TR32177|c3_g1
TR36396|c8_g1
TR34364|c0_g1
TR21732|c0_g1
TR22253|c0_g1
TR22085|c0_g1
TR17646|c1_g1
TR36382|c0_g2
TR19875|c6_g1
TR17915|c11_g1
TR9105|c6_g7
TR19897|c12_g1
TR6170|c2_g1
TR15922|c11_g1
TR1540|c3_g1
TR22357|c0_g1
TR39112|c0_g1
TR13350|c1_g1
TR28560|c0_g1
TR19825|c4_g2
TR15291|c5_g2
TR13957|c0_g1
TR15248|c1_g2
TR8300|c0_g1
TR31312|c0_g1
TR8328|c1_g1
TR34045|c2_g2
TR6569|c5_g1
TR33556|c0_g1
TR13673|c0_g2
TR37060|c2_g3
TR17865|c2_g1
TR5086|c0_g1
TR36339|c3_g1
TR31255|c3_g1
TR37026|c1_g1
TR6438|c7_g1
TR18173|c0_g2
TR8548|c3_g1
TR34963|c0_g1
TR25570|c1_g4
TR22350|c0_g2
TR1550|c1_g1
TR17837|c1_g1
TR10183|c6_g2
TR17973|c0_g1
TR618|c0_g1
TR7754|c1_g1
TR35510|c1_g1
TR8501|c15_g1
TR15784|c0_g2
TR14143|c1_g1
TR23958|c2_g1
TR17283|c0_g1
TR32572|c0_g1
TR30509|c0_g1
TR8534|c1_g2
TR10962|c1_g3
TR22118|c0_g1
TR9068|c13_g2
TR29837|c1_g1
TR26391|c6_g1
TR5054|c5_g1
TR34822|c0_g2
TR21281|c1_g2
TR18236|c3_g2
TR29881|c0_g1
TR9258|c1_g2
TR37028|c2_g3
TR29823|c0_g2
TR5101|c11_g1
TR15250|c5_g2
TR6376|c0_g1
TR2796|c3_g1
TR36347|c1_g1
TR228|c0_g3
TR6559|c2_g5
TR8520|c4_g3
TR9992|c0_g1
TR23299|c0_g1
TR7523|c0_g2
TR14618|c0_g1
TR36227|c1_g1
TR3281|c0_g1
TR6752|c0_g1
TR2757|c0_g1
TR30836|c7_g2
TR37039|c1_g3
TR6083|c6_g5
TR22819|c0_g1
TR29123|c3_g3
TR9052|c3_g1
TR17831|c1_g2
TR37630|c0_g1
TR21758|c0_g2
TR19677|c0_g1
TR10163|c0_g1
TR32474|c0_g3
TR9252|c7_g1
TR2176|c0_g2
TR36228|c0_g1
TR8459|c11_g3
TR929|c1_g1
TR6104|c1_g2
TR18196|c0_g1
TR24913|c15_g1
TR2786|c3_g1
TR6383|c4_g1
TR17848|c0_g1
TR1495|c3_g2
TR17849|c4_g1
TR24053|c8_g1
TR26406|c6_g1
TR23395|c4_g1
TR659|c0_g1
TR2171|c7_g1
TR3897|c0_g1
TR6576|c6_g1
TR19231|c0_g3
TR14102|c0_g1
TR2228|c9_g2
TR23987|c11_g1
TR15257|c4_g1
TR34093|c0_g1
TR15469|c0_g1
TR7792|c8_g1
TR30799|c6_g1
TR19897|c5_g1
TR15226|c0_g2
TR25|c0_g1
TR7725|c6_g1
TR9184|c9_g2
TR38284|c0_g1
TR34783|c0_g1
TR3934|c5_g1
TR14927|c2_g2
TR10777|c0_g1
TR6158|c0_g2
TR21343|c2_g1
TR17400|c0_g2
TR32494|c1_g2
TR9502|c0_g2
TR7740|c4_g1
TR19914|c5_g1
TR23907|c3_g5
TR2161|c4_g3
TR11040|c5_g1
TR15311|c11_g1
TR10195|c8_g1
TR11341|c0_g1
TR7562|c0_g1
TR30781|c7_g1
TR36375|c6_g1
TR32547|c7_g1
TR3946|c0_g1
TR18232|c7_g1
TR7180|c0_g2
TR18139|c4_g1
TR9477|c5_g1
TR10968|c0_g2
TR34769|c0_g1
TR32302|c11_g1
TR3924|c5_g1
TR5053|c5_g1
TR5389|c0_g2
TR3954|c8_g2
TR13217|c0_g1
TR2217|c1_g1
TR17137|c0_g1
TR33550|c1_g1
TR7064|c0_g1
TR9047|c5_g1
TR9179|c10_g2
TR36393|c0_g1
TR17858|c3_g1
TR9069|c11_g1
TR7827|c0_g1
TR5043|c2_g2
TR30438|c1_g1
TR14004|c3_g1
TR35100|c0_g1
TR30775|c5_g1
TR19336|c1_g1
TR23110|c0_g1
TR25404|c0_g1
TR9553|c0_g1
TR21753|c9_g1
TR22834|c1_g1
TR27004|c0_g1
TR9275|c5_g1
TR10169|c1_g1
TR21752|c4_g1
TR14006|c0_g1
TR32187|c1_g1
TR30794|c1_g1
TR31513|c0_g2
TR34077|c4_g2
TR3872|c11_g1
TR6418|c2_g2
TR34077|c4_g3
TR23250|c0_g1
TR32482|c2_g2
TR23349|c1_g1
TR22064|c0_g1
TR15763|c0_g1
TR5032|c2_g3
TR9244|c8_g1
TR7945|c0_g2
TR9098|c11_g2
TR10967|c2_g3
TR34083|c0_g1
TR19833|c5_g1
TR32192|c17_g1
TR2768|c0_g1
TR10183|c2_g1
TR586|c1_g2
TR8836|c0_g1
TR32195|c2_g1
TR23954|c2_g1
TR9409|c2_g1
TR15922|c4_g8
TR30815|c3_g1
TR26610|c0_g1
TR27353|c0_g2
TR8513|c7_g2
