"","x"
"1","TR6479|c4_g1"
"2","TR10849|c0_g1"
"3","TR22299|c1_g1"
"4","TR14190|c0_g3"
"5","TR15709|c4_g1"
"6","TR22849|c0_g1"
"7","TR9463|c4_g4"
"8","TR17886|c7_g1"
"9","TR30457|c0_g1"
"10","TR23295|c1_g1"
"11","TR32517|c6_g1"
"12","TR23936|c2_g3"
"13","TR15080|c0_g2"
"14","TR2417|c0_g1"
"15","TR23809|c0_g1"
"16","TR39397|c0_g1"
"17","TR22348|c0_g1"
"18","TR13689|c0_g2"
"19","TR5108|c1_g1"
"20","TR36591|c0_g2"
"21","TR6600|c12_g1"
"22","TR13269|c0_g1"
"23","TR34467|c0_g1"
"24","TR3751|c0_g1"
"25","TR14663|c2_g3"
"26","TR16137|c0_g1"
"27","TR19207|c0_g1"
"28","TR25050|c0_g1"
"29","TR32322|c0_g2"
"30","TR26507|c0_g2"
"31","TR24012|c9_g3"
"32","TR23881|c3_g1"
"33","TR23960|c2_g3"
"34","TR10983|c3_g1"
"35","TR24282|c0_g1"
"36","TR32204|c0_g1"
"37","TR15295|c1_g1"
"38","TR6848|c0_g1"
"39","TR2826|c0_g2"
"40","TR31217|c12_g1"
"41","TR2808|c0_g1"
"42","TR32253|c6_g1"
"43","TR21701|c0_g1"
"44","TR34340|c0_g2"
"45","TR19854|c1_g1"
"46","TR38877|c3_g1"
"47","TR23935|c3_g3"
"48","TR6084|c1_g1"
"49","TR15420|c0_g1"
"50","TR15300|c2_g1"
"51","TR15973|c12_g1"
"52","TR17891|c6_g1"
"53","TR10969|c1_g1"
"54","TR25553|c3_g1"
"55","TR36437|c0_g1"
"56","TR7847|c0_g1"
"57","TR23935|c3_g2"
"58","TR10844|c2_g1"
"59","TR11485|c0_g1"
"60","TR31217|c3_g1"
"61","TR10978|c18_g1"
"62","TR9242|c2_g1"
"63","TR179|c0_g2"
"64","TR2462|c0_g1"
"65","TR35582|c0_g1"
"66","TR14151|c0_g1"
"67","TR5039|c12_g3"
"68","TR29141|c1_g1"
"69","TR19553|c0_g2"
"70","TR15708|c2_g1"
"71","TR26425|c5_g2"
"72","TR2338|c0_g1"
"73","TR21732|c1_g1"
"74","TR9091|c3_g2"
"75","TR9384|c0_g1"
"76","TR7779|c0_g1"
"77","TR20539|c0_g1"
"78","TR34807|c2_g1"
"79","TR9501|c0_g1"
"80","TR13033|c0_g1"
"81","TR2409|c0_g1"
"82","TR6546|c7_g2"
"83","TR10806|c1_g1"
"84","TR23896|c4_g1"
"85","TR15140|c0_g1"
"86","TR6600|c8_g1"
"87","TR34459|c0_g1"
"88","TR16891|c0_g1"
"89","TR9478|c5_g1"
"90","TR26474|c1_g1"
"91","TR3884|c0_g4"
"92","TR22333|c0_g1"
"93","TR23950|c2_g2"
"94","TR8333|c1_g1"
"95","TR19560|c0_g1"
"96","TR15707|c0_g2"
"97","TR2732|c6_g3"
"98","TR7590|c0_g1"
"99","TR846|c1_g1"
"100","TR27699|c0_g1"
"101","TR10164|c0_g5"
"102","TR17429|c2_g1"
"103","TR32155|c5_g1"
"104","TR2499|c0_g1"
"105","TR6631|c2_g1"
"106","TR14004|c2_g1"
"107","TR19202|c0_g1"
"108","TR9494|c0_g1"
"109","TR23685|c0_g2"
"110","TR2776|c6_g1"
"111","TR26314|c0_g1"
"112","TR35292|c0_g1"
"113","TR10122|c8_g3"
"114","TR3876|c0_g1"
"115","TR26378|c1_g1"
"116","TR17896|c2_g2"
"117","TR23947|c5_g1"
"118","TR9491|c4_g1"
"119","TR23207|c0_g1"
"120","TR1887|c0_g1"
"121","TR17137|c0_g1"
"122","TR11496|c0_g2"
"123","TR7777|c0_g3"
"124","TR23683|c0_g1"
"125","TR1016|c0_g3"
"126","TR29134|c4_g1"
"127","TR19187|c1_g2"
"128","TR30231|c0_g1"
"129","TR17824|c1_g1"
"130","TR30868|c0_g1"
"131","TR90|c0_g1"
"132","TR11037|c1_g1"
"133","TR34766|c2_g1"
"134","TR1410|c1_g2"
"135","TR13691|c4_g1"
"136","TR38844|c0_g1"
"137","TR21757|c4_g1"
"138","TR22048|c0_g2"
"139","TR23315|c0_g2"
"140","TR13678|c0_g2"
"141","TR11856|c0_g1"
"142","TR10828|c0_g1"
"143","TR36384|c5_g1"
"144","TR7816|c0_g1"
"145","TR20625|c0_g1"
"146","TR2836|c1_g1"
"147","TR28102|c0_g1"
"148","TR6608|c1_g2"
"149","TR15303|c0_g1"
"150","TR31302|c11_g1"
"151","TR9437|c9_g4"
"152","TR20084|c0_g1"
"153","TR3900|c4_g3"
"154","TR36747|c1_g1"
"155","TR23371|c1_g1"
"156","TR25537|c2_g1"
"157","TR13691|c1_g1"
"158","TR30868|c1_g2"
"159","TR39109|c0_g1"
"160","TR34124|c0_g1"
"161","TR9460|c5_g2"
"162","TR16201|c0_g1"
"163","TR33506|c0_g1"
"164","TR19896|c8_g1"
"165","TR2781|c0_g1"
"166","TR19894|c5_g1"
"167","TR10849|c0_g2"
"168","TR9124|c3_g1"
"169","TR10221|c0_g2"
"170","TR23584|c0_g1"
"171","TR29171|c8_g1"
"172","TR23810|c0_g1"
"173","TR18220|c7_g2"
"174","TR9970|c1_g2"
"175","TR9244|c12_g1"
"176","TR12559|c0_g1"
"177","TR26410|c2_g1"
"178","TR31470|c1_g1"
"179","TR9107|c1_g2"
"180","TR26384|c5_g1"
"181","TR29589|c0_g1"
"182","TR10178|c6_g1"
"183","TR27840|c0_g1"
"184","TR11048|c4_g2"
"185","TR24428|c0_g1"
"186","TR23981|c6_g1"
"187","TR13678|c4_g1"
"188","TR36434|c3_g1"
"189","TR32239|c6_g1"
"190","TR7793|c0_g1"
"191","TR38966|c4_g4"
"192","TR36644|c0_g1"
"193","TR1065|c0_g1"
"194","TR62|c0_g1"
"195","TR8720|c0_g1"
"196","TR26284|c0_g1"
"197","TR9412|c6_g1"
"198","TR30427|c0_g1"
"199","TR7744|c0_g2"
"200","TR27119|c0_g1"
"201","TR6608|c1_g4"
"202","TR6536|c5_g3"
"203","TR7324|c0_g1"
"204","TR34785|c0_g2"
"205","TR5047|c4_g1"
"206","TR22269|c0_g1"
"207","TR13753|c1_g2"
"208","TR30895|c1_g1"
"209","TR23256|c0_g2"
"210","TR4335|c0_g1"
"211","TR37058|c9_g2"
"212","TR39352|c0_g2"
"213","TR31870|c1_g1"
"214","TR13978|c0_g2"
"215","TR14129|c0_g2"
"216","TR22640|c0_g1"
"217","TR16531|c0_g1"
"218","TR15275|c8_g2"
"219","TR2177|c7_g1"
"220","TR17978|c1_g2"
"221","TR32233|c4_g1"
"222","TR6608|c1_g1"
"223","TR18159|c0_g1"
"224","TR34766|c2_g3"
"225","TR7581|c1_g1"
"226","TR18220|c6_g1"
"227","TR34070|c0_g1"
"228","TR2809|c2_g1"
"229","TR36381|c2_g2"
"230","TR6137|c0_g1"
"231","TR7582|c1_g4"
"232","TR34785|c0_g3"
"233","TR7759|c9_g1"
"234","TR1593|c0_g2"
"235","TR7188|c0_g1"
"236","TR21722|c0_g1"
"237","TR17857|c1_g1"
"238","TR3360|c1_g1"
"239","TR3887|c3_g1"
"240","TR25062|c1_g1"
"241","TR9437|c9_g3"
"242","TR28030|c0_g1"
"243","TR32273|c5_g1"
"244","TR2775|c3_g1"
"245","TR34246|c1_g1"
"246","TR17399|c0_g1"
"247","TR37039|c1_g1"
"248","TR2457|c1_g1"
"249","TR21716|c6_g1"
"250","TR36988|c3_g1"
"251","TR17452|c0_g1"
"252","TR14598|c0_g1"
"253","TR23984|c9_g1"
"254","TR32321|c0_g1"
"255","TR3872|c2_g1"
"256","TR27959|c0_g1"
"257","TR38889|c19_g1"
"258","TR22843|c0_g1"
"259","TR7704|c5_g1"
"260","TR25537|c4_g1"
"261","TR22059|c1_g1"
"262","TR9970|c1_g1"
"263","TR38251|c1_g2"
"264","TR12150|c0_g1"
"265","TR2785|c1_g2"
"266","TR10969|c1_g2"
"267","TR23935|c3_g1"
"268","TR2458|c0_g1"
"269","TR22853|c3_g2"
"270","TR1012|c0_g1"
"271","TR6546|c7_g1"
"272","TR17932|c1_g1"
"273","TR9425|c4_g1"
"274","TR10450|c0_g1"
"275","TR12912|c0_g1"
"276","TR37755|c0_g1"
"277","TR19864|c0_g1"
"278","TR36760|c0_g1"
"279","TR23936|c2_g2"
"280","TR19157|c0_g1"
"281","TR15088|c0_g2"
"282","TR15252|c0_g2"
"283","TR4808|c0_g1"
"284","TR32309|c1_g1"
"285","TR1458|c3_g1"
"286","TR25537|c1_g1"
"287","TR38885|c3_g1"
"288","TR30205|c2_g1"
"289","TR7954|c2_g1"
"290","TR28511|c2_g1"
"291","TR18855|c1_g1"
"292","TR24860|c0_g1"
"293","TR9215|c4_g1"
"294","TR27404|c4_g3"
"295","TR7564|c0_g1"
"296","TR15982|c1_g2"
"297","TR22272|c0_g2"
"298","TR21657|c0_g2"
"299","TR3270|c1_g1"
"300","TR23870|c2_g1"
"301","TR12520|c0_g1"
"302","TR34775|c3_g1"
"303","TR36554|c0_g1"
"304","TR27119|c0_g2"
"305","TR5109|c4_g1"
"306","TR11710|c2_g1"
"307","TR29110|c11_g1"
"308","TR35110|c0_g1"
"309","TR28712|c0_g3"
"310","TR13676|c0_g2"
"311","TR27816|c0_g2"
"312","TR13607|c0_g2"
"313","TR13942|c0_g1"
"314","TR34820|c13_g2"
"315","TR32287|c5_g2"
"316","TR14141|c0_g1"
"317","TR31286|c2_g2"
"318","TR20816|c0_g1"
"319","TR29148|c0_g1"
"320","TR1498|c1_g1"
"321","TR32158|c1_g2"
