"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TR10849|c0_g1",28.1675904897728,-5.31222997116476,0.630157453540583,-8.43000418596596,3.45652854241138e-17,5.54396158074841e-15
"TR22299|c1_g1",38.9305759271298,-2.12571668759677,0.66457020481046,-3.19863375187432,0.00138080464735173,0.00683328977084409
"TR14190|c0_g3",10.6916231421675,-2.24742965825846,0.713375459309207,-3.1504162764931,0.0016303797821198,0.00781938518850289
"TR15709|c4_g1",48.5355178865183,-5.28427761559977,0.532866435307146,-9.91670194530809,3.52201880802046e-23,1.35576050146892e-20
"TR22849|c0_g1",1292.07613116016,-3.26170759441457,0.739373805977387,-4.41144596690558,1.02682580143196e-05,0.000117048785319495
"TR9463|c4_g4",37.2985541932687,-3.85847659308667,0.979307002717827,-3.94000715034041,8.14791805296176e-05,0.000664501491535711
"TR8504|c0_g3",379.678876623014,-1.53521176972665,0.469151990387575,-3.27231217426657,0.00106671723103131,0.00555701266659055
"TR17886|c7_g1",164.538416736392,-2.77536452754933,0.5659047053844,-4.90429660885064,9.37627179708787e-07,1.51526812659622e-05
"TR10983|c1_g1",335.696542497039,-1.64470802938811,0.52388081100152,-3.13946988484627,0.00169253810315181,0.00806493922661615
"TR2236|c2_g1",1333.2318942364,-1.13924067097348,0.300965273567613,-3.78528943711356,0.000153529783158162,0.0011291795133452
"TR29106|c3_g1",392.301541780875,-1.68328996834018,0.413699807793798,-4.06886814213651,4.72420717059948e-05,0.000421785938329725
"TR23295|c1_g1",1052.40311474249,-2.55715246351778,0.70419864633688,-3.63129420486626,0.000282003482538176,0.00186321867879264
"TR32517|c6_g1",187.492292795912,-4.46598678158649,0.407098687953296,-10.970280459609,5.31074089940516e-28,4.02666812254595e-25
"TR23936|c2_g3",362.651303136074,-3.70757478820788,0.865829387446123,-4.28210781704218,1.85131235432961e-05,0.000192411521790563
"TR15080|c0_g2",44.5431720112036,-4.16796961270681,1.01133328146558,-4.12126218833296,3.76802299333232e-05,0.000348281135264751
"TR663|c0_g1",43.5491922401012,-1.12017844876777,0.25912934529614,-4.32285447056413,1.54023337085734e-05,0.00016504573521294
"TR2417|c0_g1",965.163949934322,-2.23779253926569,0.606635100308503,-3.68886096127254,0.000225260271885931,0.00154629280188145
"TR23809|c0_g1",91.5126403690812,-3.28811193841055,0.324619955225058,-10.1291121678916,4.10358371536425e-24,1.80132926565139e-21
"TR39397|c0_g1",603.286008735867,-3.16503780397373,0.756092377791727,-4.18604643683575,2.83855300283006e-05,0.000276033558817765
"TR7940|c0_g2",71.0861217906865,-1.81421742381897,0.530490195948874,-3.41988869478337,0.000626467626858263,0.00360341298657945
"TR22348|c0_g1",4721.70226532352,-2.30563056735639,0.684169930328067,-3.36996770122712,0.000751769947818231,0.00416612090019047
"TR33096|c0_g1",197.098039841471,-1.33698934361045,0.316226792494329,-4.22794454911479,2.35835892421307e-05,0.000236507008588117
"TR13689|c0_g2",258.873469946888,-3.70601368188337,0.428093391361528,-8.65702147397462,4.8425149834963e-18,8.53271601422965e-16
"TR36591|c0_g2",21.6558514252136,-2.14651850085857,0.456874924447559,-4.69826288552405,2.62383571450364e-06,3.66970337689188e-05
"TR6600|c12_g1",4.32105377329388,-3.73190210184227,0.974785469840578,-3.82843427328949,0.000128961059731096,0.000977002190719301
"TR34467|c0_g1",660.913751037283,-5.04624627936517,0.907486785930878,-5.56068292960195,2.68721018792853e-08,6.93161712496492e-07
"TR3751|c0_g1",80.7676663561988,-2.60413478585203,0.77442633847961,-3.36266298866409,0.000771945409403412,0.00425343450532543
"TR14663|c2_g3",224.295826831736,-4.78300952491374,0.862455217803722,-5.54580623570679,2.92602720790772e-08,7.47825605404075e-07
"TR16137|c0_g1",13.5399679069537,-3.28908563217555,0.708897461446613,-4.63971986225437,3.4888178570401e-06,4.67561390471346e-05
"TR19207|c0_g1",306.43895758641,-2.65516578195156,0.425488715486951,-6.24027309140938,4.36807610412805e-10,1.74211653324909e-08
"TR25050|c0_g1",17.1203041240401,-5.00975591982046,0.839440720820679,-5.96796866718912,2.4022548431322e-09,7.88803391469957e-08
"TR32322|c0_g2",606.732327394893,-2.32224903830425,0.519119238677214,-4.47344052249279,7.69709750242751e-06,9.13177224315974e-05
"TR26507|c0_g2",145.255877144922,-4.12338535728792,0.846845931779215,-4.86910924709141,1.12102422324617e-06,1.76188109860819e-05
"TR36792|c0_g2",23.7189672388577,-1.79810651136634,0.470521951444673,-3.82151460913884,0.000132634555069733,0.000999021149129912
"TR17457|c0_g1",266.934259829201,-1.35917060317229,0.322566546345676,-4.21361303138903,2.51317725345053e-05,0.000250297696078744
"TR31867|c0_g1",539.460395188099,-1.85760356321587,0.47998267626878,-3.8701471012584,0.00010876970242203,0.000849945885166024
"TR23881|c3_g1",5122.29428486234,-2.07204300578204,0.65712531612187,-3.15319308957769,0.00161494946351958,0.00776323737304965
"TR639|c0_g1",6942.48571703132,-1.004991640079,0.286412021902553,-3.50890173325522,0.00044996111968318,0.00274530045735012
"TR23960|c2_g3",40.5337020611176,-2.64308210479598,0.814218965875526,-3.24615639719702,0.00116974558356322,0.00596983210627332
"TR32148|c6_g1",177.868812669431,-1.45137050664196,0.364063540889647,-3.98658570175775,6.70309223961351e-05,0.000568150646772932
"TR10983|c3_g1",14.6244758301499,-2.98579842609511,0.543118264260785,-5.49751062074658,3.85190122432154e-08,9.49541089002457e-07
"TR24282|c0_g1",7.80013285143821,-5.05103108831589,1.03345613830627,-4.88751375224691,1.02117364256244e-06,1.63159551152968e-05
"TR32512|c0_g4",211.680726093075,-1.00448655425228,0.304587185803037,-3.29786215924998,0.000974239476602253,0.00515891008599772
"TR32204|c0_g1",90.9326738517345,-3.78963042366071,0.503468681079177,-7.52704302388323,5.19022722859493e-14,4.93782036071003e-12
"TR37055|c6_g2",427.312651468928,-1.34316521234489,0.256269243307367,-5.24122674656636,1.5951255806686e-07,3.27144566835321e-06
