"","x"
"1","TR10849|c0_g1"
"2","TR22299|c1_g1"
"3","TR14190|c0_g3"
"4","TR15709|c4_g1"
"5","TR22849|c0_g1"
"6","TR9463|c4_g4"
"7","TR17886|c7_g1"
"8","TR23295|c1_g1"
"9","TR32517|c6_g1"
"10","TR23936|c2_g3"
"11","TR15080|c0_g2"
"12","TR2417|c0_g1"
"13","TR23809|c0_g1"
"14","TR39397|c0_g1"
"15","TR22348|c0_g1"
"16","TR13689|c0_g2"
"17","TR36591|c0_g2"
"18","TR6600|c12_g1"
"19","TR34467|c0_g1"
"20","TR3751|c0_g1"
"21","TR14663|c2_g3"
"22","TR16137|c0_g1"
"23","TR19207|c0_g1"
"24","TR25050|c0_g1"
"25","TR32322|c0_g2"
"26","TR26507|c0_g2"
"27","TR23881|c3_g1"
"28","TR23960|c2_g3"
"29","TR10983|c3_g1"
"30","TR24282|c0_g1"
"31","TR32204|c0_g1"
"32","TR15295|c1_g1"
"33","TR6848|c0_g1"
"34","TR2826|c0_g2"
"35","TR31217|c12_g1"
"36","TR2808|c0_g1"
"37","TR21701|c0_g1"
"38","TR19854|c1_g1"
"39","TR38877|c3_g1"
"40","TR23935|c3_g3"
"41","TR6084|c1_g1"
"42","TR15300|c2_g1"
"43","TR10969|c1_g1"
"44","TR36437|c0_g1"
"45","TR7847|c0_g1"
"46","TR23935|c3_g2"
"47","TR11485|c0_g1"
"48","TR31217|c3_g1"
"49","TR10978|c18_g1"
"50","TR9242|c2_g1"
"51","TR179|c0_g2"
"52","TR2462|c0_g1"
"53","TR35582|c0_g1"
"54","TR14151|c0_g1"
"55","TR19553|c0_g2"
"56","TR15708|c2_g1"
"57","TR26425|c5_g2"
"58","TR2338|c0_g1"
"59","TR21732|c1_g1"
"60","TR9384|c0_g1"
"61","TR7779|c0_g1"
"62","TR20539|c0_g1"
"63","TR34807|c2_g1"
"64","TR9501|c0_g1"
"65","TR2409|c0_g1"
"66","TR6546|c7_g2"
"67","TR10806|c1_g1"
"68","TR23896|c4_g1"
"69","TR15140|c0_g1"
"70","TR6600|c8_g1"
"71","TR34459|c0_g1"
"72","TR16891|c0_g1"
"73","TR9478|c5_g1"
"74","TR3884|c0_g4"
"75","TR22333|c0_g1"
"76","TR23950|c2_g2"
"77","TR8333|c1_g1"
"78","TR19560|c0_g1"
"79","TR15707|c0_g2"
"80","TR7590|c0_g1"
"81","TR846|c1_g1"
"82","TR27699|c0_g1"
"83","TR10164|c0_g5"
"84","TR17429|c2_g1"
"85","TR32155|c5_g1"
"86","TR2499|c0_g1"
