Trinity stats:

GC_content	40.0
len_N50	1281
len_max	19309
len_mean	803
len_median	453
len_min	224
num_A	32018929
num_C	19541192
num_G	21853419
num_N	0
num_T	29997299
num_bp	103410839
num_bp_not_N	103410839
num_seq	128686


histogram

Length	Count	Sequences longer than Length
0	0	128686
50	0	128686
100	0	128686
150	0	128686
200	14226	128686
250	19500	114460
300	13135	94960
350	9683	81825
400	7306	72142
450	5859	64836
500	4959	58977
550	4177	54018
600	3573	49841
650	3118	46268
700	2771	43150
750	2474	40379
800	2148	37905
850	2129	35757
900	1858	33628
950	1684	31770
1000	1662	30086
1050	1559	28424
1100	1409	26865
1150	1351	25456
1200	1212	24105
1250	1193	22893
1300	1160	21700
1350	1029	20540
1400	998	19511
1450	880	18513
1500	856	17633
1550	766	16777
1600	771	16011
1650	732	15240
1700	740	14508
1750	703	13768
1800	624	13065
1850	607	12441
1900	555	11834
1950	524	11279
2000	523	10755
2050	461	10232
2100	458	9771
2150	419	9313
2200	387	8894
2250	374	8507
2300	352	8133
2350	368	7781
2400	346	7413
2450	305	7067
2500	326	6762
2550	277	6436
2600	298	6159
2650	279	5861
2700	265	5582
2750	266	5317
2800	243	5051
2850	174	4808
2900	212	4634
2950	180	4422
3000	174	4242
3050	198	4068
3100	177	3870
3150	157	3693
3200	129	3536
3250	130	3407
3300	139	3277
3350	128	3138
3400	140	3010
3450	133	2870
3500	103	2737
3550	111	2634
3600	92	2523
3650	104	2431
3700	68	2327
3750	69	2259
3800	100	2190
3850	79	2090
3900	92	2011
3950	58	1919
4000	82	1861
4050	78	1779
4100	84	1701
4150	65	1617
4200	71	1552
4250	73	1481
4300	63	1408
4350	50	1345
4400	63	1295
4450	49	1232
4500	38	1183
4550	36	1145
4600	39	1109
4650	44	1070
4700	35	1026
4750	36	991
4800	36	955
4850	40	919
4900	32	879
4950	31	847
5000	29	816
5050	32	787
5100	40	755
5150	25	715
5200	19	690
5250	27	671
5300	18	644
5350	17	626
5400	21	609
5450	30	588
